rank,player,team,goals,assists,matches_played
1,Lionel Messi,Argentina,8,1,5
2,Kylian Mbappe,France,7,2,5
3,Erling Haaland,Norway,7,1,5
4,Harry Kane,England,6,1,5
5,Mikel Oyarzabal,Spain,4,3,5
6,Ousmane Dembele,France,4,2,5
7,Vinicius Junior,Brazil,4,1,5
8,Jude Bellingham,England,4,1,5
9,Ismaila Sarr,Senegal,4,0,4
10,Julian Quinones,Mexico,4,0,5
