rank,player,team,assists,goals,matches_played
1,Michael Olise,France,5,0,5
2,Bruno Guimaraes,Brazil,4,0,5
3,Brahim Diaz,Morocco,4,0,5
4,Roberto Alvarado,Mexico,3,3,5
5,Alexander Isak,Sweden,3,1,4
6,Martin Odegaard,Norway,3,3,5
7,Bukayo Saka,England,3,3,5
8,Andreas Schjelderup,Norway,3,3,5
9,Florian Wirtz,Germany,3,0,4
10,Kylian Mbappe,France,2,7,5
