rank,player,team,clean_sheets,saves,goals_conceded,matches_played
1,Unai Simon,Spain,5,9,0,5
2,Camilo Vargas,Colombia,4,10,1,5
3,Raul Rangel,Mexico,4,9,3,5
4,Mike Maignan,France,3,8,2,5
5,Diogo Costa,Portugal,2,19,3,5
6,Gregor Kobel,Switzerland,2,16,3,5
7,Yassine Bounou,Morocco,2,12,4,5
8,Emiliano Martinez,Argentina,2,11,5,5
9,Jordan Pickford,England,2,9,5,5
10,Thibaut Courtois,Belgium,1,11,5,5
